id,source_card,coin,kind,start_hour_utc
B100,C277,ZROUSDT,calm,2025-12-10T07:00Z
B101,C241,NILUSDT,calm,2026-04-08T02:00Z
B102,C127,FHEUSDT,calm,2026-05-28T00:00Z
B103,C274,ZROUSDT,large,2025-11-06T08:00Z
B104,C282,ZROUSDT,large,2026-02-05T00:00Z
B105,C190,NEWTUSDT,large,2025-12-19T13:00Z
B106,C059,FARTCOINUSDT,large,2025-10-12T14:00Z
B107,C164,KOMAUSDT,calm,2026-07-07T06:00Z
B108,C119,FHEUSDT,calm,2026-03-03T03:00Z
B109,C028,BCHUSDT,calm,2025-12-15T02:00Z
B110,C296,ZROUSDT,large,2026-06-04T19:00Z
B111,C136,KOMAUSDT,large,2025-09-21T07:00Z
B112,C137,KOMAUSDT,calm,2025-09-28T17:00Z
B113,C189,NEWTUSDT,calm,2025-12-02T05:00Z
B114,C074,FARTCOINUSDT,calm,2026-02-17T17:00Z
B115,C047,BCHUSDT,large,2026-06-08T01:00Z
B116,C065,FARTCOINUSDT,large,2025-11-25T22:00Z
B117,C143,KOMAUSDT,calm,2025-12-18T05:00Z
B118,C121,FHEUSDT,calm,2026-03-12T23:00Z
B119,C298,ZROUSDT,calm,2026-06-09T21:00Z
B120,C090,FARTCOINUSDT,large,2026-07-02T07:00Z
B121,C300,ZROUSDT,calm,2026-06-26T04:00Z
B122,C242,NILUSDT,calm,2026-04-14T12:00Z
B123,C204,NEWTUSDT,calm,2026-06-18T00:00Z
B124,C064,FARTCOINUSDT,large,2025-11-23T21:00Z
B125,C195,NEWTUSDT,large,2026-02-05T01:00Z
B126,C251,NILUSDT,large,2026-08-09T05:00Z
B127,C112,FHEUSDT,large,2026-01-18T14:00Z
B128,C264,NOKUSDT,calm,2026-08-15T13:00Z
B129,C096,FHEUSDT,calm,2025-09-17T17:00Z
B130,C290,ZROUSDT,large,2026-04-18T07:00Z
B131,C301,ZROUSDT,calm,2026-06-28T17:00Z
B132,C227,NILUSDT,large,2025-11-15T21:00Z
B133,C154,KOMAUSDT,calm,2026-04-22T04:00Z
B134,C148,KOMAUSDT,calm,2026-03-16T10:00Z
B135,C094,FARTCOINUSDT,large,2026-08-21T05:00Z
B136,C156,KOMAUSDT,large,2026-05-28T11:00Z
B137,C183,NEWTUSDT,large,2025-10-29T21:00Z
B138,C206,NEWTUSDT,calm,2026-06-21T08:00Z
B139,C243,NILUSDT,large,2026-05-06T23:00Z
B140,C140,KOMAUSDT,large,2025-10-17T09:00Z
B141,C104,FHEUSDT,large,2025-12-06T19:00Z
B142,C218,NILUSDT,calm,2025-09-16T05:00Z
B143,C095,FHEUSDT,calm,2025-09-06T07:00Z
B144,C293,ZROUSDT,calm,2026-05-18T19:00Z
B145,C008,AVGOUSDT,calm,2026-07-03T05:00Z
B146,C177,NEWTUSDT,calm,2025-09-13T14:00Z
B147,C294,ZROUSDT,calm,2026-05-19T13:00Z
B148,C159,KOMAUSDT,large,2026-06-22T04:00Z
B149,C202,NEWTUSDT,large,2026-06-05T05:00Z
B150,C117,FHEUSDT,large,2026-02-15T06:00Z
B151,C139,KOMAUSDT,large,2025-10-09T10:00Z
B152,C041,BCHUSDT,calm,2026-04-22T19:00Z
B153,C126,FHEUSDT,calm,2026-05-15T09:00Z
B154,C036,BCHUSDT,calm,2026-03-18T17:00Z
B155,C054,BCHUSDT,large,2026-08-21T03:00Z
B156,C260,NOKUSDT,large,2026-07-16T06:00Z
B157,C056,FARTCOINUSDT,large,2025-09-21T08:00Z
B158,C032,BCHUSDT,large,2026-02-06T03:00Z
B159,C111,FHEUSDT,large,2026-01-16T14:00Z
B160,C257,NOKUSDT,calm,2026-06-16T21:00Z
B161,C223,NILUSDT,large,2025-10-21T10:00Z
B162,C161,KOMAUSDT,calm,2026-07-03T11:00Z
B163,C166,KOMAUSDT,large,2026-07-19T21:00Z
B164,C266,OMNIUSDT,calm,2025-09-21T00:00Z
B165,C172,KOMAUSDT,calm,2026-08-17T03:00Z
B166,C142,KOMAUSDT,calm,2025-11-14T06:00Z
B167,C076,FARTCOINUSDT,calm,2026-03-10T00:00Z
B168,C262,NOKUSDT,large,2026-07-30T07:00Z
B169,C150,KOMAUSDT,large,2026-04-06T15:00Z
B170,C178,NEWTUSDT,large,2025-09-21T16:00Z
B171,C038,BCHUSDT,calm,2026-03-30T04:00Z
B172,C130,FHEUSDT,calm,2026-07-13T15:00Z
B173,C239,NILUSDT,calm,2026-03-08T22:00Z
B174,C138,KOMAUSDT,large,2025-10-07T05:00Z
B175,C051,BCHUSDT,calm,2026-07-29T02:00Z
B176,C305,ZROUSDT,large,2026-08-22T08:00Z
B177,C295,ZROUSDT,calm,2026-05-30T08:00Z
B178,C116,FHEUSDT,large,2026-02-11T14:00Z
B179,C013,AVGOUSDT,large,2026-08-03T18:00Z
B180,C212,NEWTUSDT,calm,2026-07-26T20:00Z
B181,C259,NOKUSDT,calm,2026-06-28T14:00Z
B182,C003,AVGOUSDT,large,2026-06-01T10:00Z
B183,C048,BCHUSDT,large,2026-06-14T15:00Z
B184,C062,FARTCOINUSDT,large,2025-11-06T21:00Z
B185,C134,FHEUSDT,calm,2026-08-24T13:00Z
B186,C186,NEWTUSDT,calm,2025-11-15T14:00Z
B187,C210,NEWTUSDT,calm,2026-07-17T23:00Z
B188,C230,NILUSDT,large,2025-12-09T05:00Z
B189,C306,ZROUSDT,large,2026-08-24T17:00Z
B190,C129,FHEUSDT,calm,2026-06-29T10:00Z
B191,C221,NILUSDT,large,2025-10-10T05:00Z
B192,C002,AVGOUSDT,calm,2026-05-23T22:00Z
B193,C070,FARTCOINUSDT,large,2026-01-05T14:00Z
B194,C011,AVGOUSDT,calm,2026-07-16T14:00Z
B195,C072,FARTCOINUSDT,calm,2026-01-14T20:00Z
B196,C080,FARTCOINUSDT,calm,2026-04-20T12:00Z
B197,C006,AVGOUSDT,calm,2026-06-10T07:00Z
B198,C125,FHEUSDT,large,2026-05-04T21:00Z
B199,C255,NOKUSDT,large,2026-06-05T03:00Z
B200,C061,FARTCOINUSDT,large,2025-11-03T08:00Z
B201,C031,BCHUSDT,large,2026-01-30T20:00Z
B202,C114,FHEUSDT,large,2026-02-03T15:00Z
B203,C097,FHEUSDT,calm,2025-09-19T21:00Z
B204,C102,FHEUSDT,calm,2025-11-14T07:00Z
B205,C022,BCHUSDT,calm,2025-11-04T23:00Z
B206,C254,NILUSDT,large,2026-08-28T19:00Z
B207,C219,NILUSDT,large,2025-10-01T07:00Z
B208,C034,BCHUSDT,large,2026-02-23T00:00Z
B209,C238,NILUSDT,calm,2026-03-02T09:00Z
B210,C292,ZROUSDT,calm,2026-04-30T19:00Z
B211,C155,KOMAUSDT,calm,2026-05-01T06:00Z
B212,C157,KOMAUSDT,large,2026-06-10T01:00Z
B213,C244,NILUSDT,large,2026-05-20T01:00Z
B214,C269,ZROUSDT,large,2025-09-23T12:00Z
B215,C304,ZROUSDT,calm,2026-08-13T07:00Z
B216,C106,FHEUSDT,large,2025-12-15T04:00Z
B217,C229,NILUSDT,large,2025-11-20T23:00Z
B218,C141,KOMAUSDT,calm,2025-11-04T20:00Z
B219,C162,KOMAUSDT,calm,2026-07-04T02:00Z
B220,C168,KOMAUSDT,large,2026-07-30T08:00Z
B221,C026,BCHUSDT,large,2025-11-21T12:00Z
B222,C055,FARTCOINUSDT,calm,2025-09-15T22:00Z
B223,C144,KOMAUSDT,calm,2025-12-30T01:00Z
B224,C005,AVGOUSDT,large,2026-06-05T12:00Z
B225,C146,KOMAUSDT,calm,2026-01-08T17:00Z
B226,C245,NILUSDT,large,2026-05-23T20:00Z
B227,C020,BCHUSDT,large,2025-10-25T13:00Z
B228,C135,KOMAUSDT,calm,2025-09-03T01:00Z
B229,C236,NILUSDT,calm,2026-02-01T21:00Z
B230,C152,KOMAUSDT,large,2026-04-15T06:00Z
B231,C066,FARTCOINUSDT,large,2025-12-01T16:00Z
B232,C234,NILUSDT,calm,2026-01-18T22:00Z
B233,C211,NEWTUSDT,calm,2026-07-18T10:00Z
B234,C182,NEWTUSDT,large,2025-10-16T08:00Z
B235,C188,NEWTUSDT,calm,2025-11-26T19:00Z
B236,C224,NILUSDT,calm,2025-10-29T10:00Z
B237,C075,FARTCOINUSDT,calm,2026-03-02T05:00Z
B238,C194,NEWTUSDT,large,2026-01-30T20:00Z
B239,C016,BCHUSDT,calm,2025-09-21T09:00Z
B240,C101,FHEUSDT,calm,2025-10-31T22:00Z
B241,C231,NILUSDT,calm,2025-12-16T18:00Z
B242,C284,ZROUSDT,large,2026-02-19T16:00Z
B243,C040,BCHUSDT,calm,2026-04-20T23:00Z
B244,C288,ZROUSDT,large,2026-03-23T01:00Z
B245,C185,NEWTUSDT,calm,2025-11-06T14:00Z
B246,C184,NEWTUSDT,large,2025-11-02T21:00Z
B247,C201,NEWTUSDT,large,2026-05-28T21:00Z
B248,C286,ZROUSDT,calm,2026-03-12T23:00Z
B249,C082,FARTCOINUSDT,calm,2026-05-01T23:00Z
B250,C077,FARTCOINUSDT,large,2026-03-16T02:00Z
B251,C033,BCHUSDT,large,2026-02-12T22:00Z
B252,C145,KOMAUSDT,calm,2026-01-02T07:00Z
B253,C001,AVGOUSDT,calm,2026-05-07T20:00Z
B254,C217,NILUSDT,calm,2025-09-09T15:00Z
B255,C176,NEWTUSDT,calm,2025-09-13T11:00Z
B256,C042,BCHUSDT,calm,2026-05-07T15:00Z
B257,C180,NEWTUSDT,large,2025-10-09T22:00Z
B258,C113,FHEUSDT,large,2026-01-20T16:00Z
B259,C299,ZROUSDT,large,2026-06-14T15:00Z
B260,C174,KOMAUSDT,large,2026-08-28T19:00Z
B261,C289,ZROUSDT,large,2026-04-07T03:00Z
B262,C291,ZROUSDT,calm,2026-04-30T04:00Z
B263,C226,NILUSDT,large,2025-11-03T00:00Z
B264,C007,AVGOUSDT,large,2026-06-22T13:00Z
B265,C131,FHEUSDT,calm,2026-08-09T13:00Z
B266,C093,FARTCOINUSDT,calm,2026-08-05T21:00Z
B267,C024,BCHUSDT,calm,2025-11-15T03:00Z
B268,C170,KOMAUSDT,large,2026-08-03T21:00Z
B269,C287,ZROUSDT,calm,2026-03-19T19:00Z
B270,C247,NILUSDT,large,2026-06-03T22:00Z
B271,C233,NILUSDT,calm,2026-01-07T00:00Z
B272,C179,NEWTUSDT,large,2025-09-30T19:00Z
B273,C151,KOMAUSDT,large,2026-04-13T02:00Z
B274,C021,BCHUSDT,calm,2025-11-01T04:00Z
B275,C263,NOKUSDT,large,2026-08-11T12:00Z
B276,C272,ZROUSDT,large,2025-10-09T22:00Z
B277,C108,FHEUSDT,calm,2025-12-29T00:00Z
B278,C235,NILUSDT,calm,2026-01-22T08:00Z
B279,C110,FHEUSDT,large,2026-01-14T12:00Z
B280,C270,ZROUSDT,large,2025-10-01T07:00Z
B281,C303,ZROUSDT,calm,2026-08-09T14:00Z
B282,C160,KOMAUSDT,calm,2026-06-25T23:00Z
B283,C043,BCHUSDT,large,2026-05-17T12:00Z
B284,C132,FHEUSDT,calm,2026-08-11T15:00Z
B285,C063,FARTCOINUSDT,large,2025-11-20T23:00Z
B286,C220,NILUSDT,calm,2025-10-06T22:00Z
B287,C252,NILUSDT,large,2026-08-11T23:00Z
B288,C208,NEWTUSDT,calm,2026-07-09T00:00Z
B289,C073,FARTCOINUSDT,calm,2026-02-11T10:00Z
B290,C256,NOKUSDT,calm,2026-06-09T00:00Z
B291,C253,NILUSDT,large,2026-08-14T19:00Z
B292,C030,BCHUSDT,calm,2026-01-06T17:00Z
B293,C084,FARTCOINUSDT,calm,2026-05-13T16:00Z
B294,C069,FARTCOINUSDT,large,2026-01-02T03:00Z
B295,C278,ZROUSDT,calm,2026-01-12T05:00Z
B296,C107,FHEUSDT,large,2025-12-19T15:00Z
B297,C203,NEWTUSDT,calm,2026-06-14T12:00Z
B298,C187,NEWTUSDT,large,2025-11-20T14:00Z
B299,C027,BCHUSDT,large,2025-12-02T05:00Z
B300,C171,KOMAUSDT,large,2026-08-06T03:00Z
B301,C216,NILUSDT,calm,2025-09-07T09:00Z
B302,C193,NEWTUSDT,large,2026-01-24T01:00Z
B303,C191,NEWTUSDT,large,2025-12-24T11:00Z
B304,C120,FHEUSDT,large,2026-03-06T13:00Z
B305,C098,FHEUSDT,calm,2025-09-29T18:00Z
B306,C049,BCHUSDT,large,2026-06-17T16:00Z
